amount,amount_balls,amount_name,amount_type,away_team_id,batting_first_team_id,bpo,floodlit,floodlit_name,ground_id,ground_latitude,ground_longitude,ground_name,home_team_id,rain_rule,rain_rule_name,team1_abbreviation,team1_id,team1_class_id,team1_object_id,team2_abbreviation,team2_id,team2_class_id,team2_object_id,tiebreaker_name,tiebreaker_type,tiebreaker_team_id,toss_winner_team_id,winner_team_id,ground_object_id,period,balls_faced,batted,batting_position,dismissal,dismissal_card,ducks,fielder_keeper,fielder_sub,fifty_plus,fours,hundreds,innings,innings_number,minutes,notouts,outs,retired_description,runs,sixes,strike_rate,style_type,description,short_description,date_of_birth,position
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,2,12,1,6,12,not out,0,0,0,0,0,0,1,2,22,1,0,0,16,1,133.33,batting,Right-hand bat,Rhb,11/17/1982,AR
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,2,8,1,7,12,not out,0,0,0,0,1,0,1,2,19,1,0,0,15,1,187.5,bowling,Legbreak googly,Lbg,9/20/1998,BLA
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,2,8,1,7,12,not out,0,0,0,0,1,0,1,2,19,1,0,0,15,1,187.5,batting,Right-hand bat,Rhb,9/20/1998,BLA
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,2,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,bowling,Right-arm medium,Rm,5/18/1993,BL
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,2,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,batting,Right-hand bat,Rhb,5/18/1993,BL
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,2,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,bowling,Right-arm medium,Rm,5/19/1990,BL
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,2,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,batting,Right-hand bat,Rhb,5/19/1990,BL
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,1,8,1,2,2,0,0,0,0,0,1,0,1,1,16,0,1,0,5,0,62.5,batting,Right-hand bat,Rhb,09-08-1990,WBT
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,1,55,1,3,12,not out,0,0,0,1,10,1,1,1,85,1,0,0,102,4,185.45,batting,Right-hand bat,Rhb,11-11-1994,WBT
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,1,9,1,4,12,not out,0,0,0,0,3,0,1,1,24,1,0,0,16,0,177.77,bowling,Right-arm fast-medium,Rfm,06-04-1991,AR
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,1,9,1,4,12,not out,0,0,0,0,3,0,1,1,24,1,0,0,16,0,177.77,batting,Left-hand bat,Lhb,06-04-1991,AR
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bowling,Legbreak googly,Lbg,06-02-1989,MBT
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,batting,Right-hand bat,Rhb,06-02-1989,MBT
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bowling,Right-arm medium,Rm,03-02-1991,TBT
5,6,wickets,3,4345,4345,0,3,night match,1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5143,0,,SRH,5143,6,628333,RR,4345,6,335977,,0,0,4345,5143,58142,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,batting,Right-hand bat,Rhb,03-02-1991,TBT
